S.No.,Requested Timezone,Post Date,Location Name,Address Line1,Address Line2,City,State,Postal Code,Country,Time Zone,Serial Number,Connection Time,Disconnect Time,Total Time,Cummulative Energy,Total Fee,Fee Currency,Organization Name,Occupancy Billable Time,Total Occupancy Time,Billable Time,Plug Duration,Energy Start Time,Energy End Time,Energy Duration,Billing Unit Name,Evse Type,Max Power
145,US/Mountain,10/10/2023 18:47,Portland State University - RMNC,1600 Southwest 4th Avenue,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0205-2240-004640,10/10/2023 9:50,10/10/2023 18:47,8:57:11,6.2159805,2.42,USD,Portland State University,6:47:42,6:47:42,2:09:29,8:57:11,10/10/2023 8:50,10/10/2023 17:47,2:09:29,kWh,Level 2,6728.832
146,US/Mountain,10/10/2023 16:58,Portland State University - Parking One,1872 Southwest Broadway,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0205-2240-004561,10/10/2023 9:52,10/10/2023 16:58,7:06:03,4.6265664,1.8,USD,Portland State University,4:37:37,4:37:37,2:28:26,7:06:03,10/10/2023 8:52,10/10/2023 15:58,2:28:26,kWh,Level 2,6633.4752
147,US/Mountain,10/5/2023 22:09,Portland State University,1872 SW Broadway,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0207-ISO-2240-012964,10/5/2023 18:29,10/5/2023 22:09,3:40:07,0,0,USD,Portland State University,3:40:07,3:40:07,0:00:00,3:40:07,10/5/2023 17:29,10/5/2023 21:09,0:00:00,kWh,Level 2,3364.416
148,US/Mountain,10/10/2023 19:34,Portland State University - RMNC,1600 Southwest 4th Avenue,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0207-ISO-2240-012498,10/10/2023 18:18,10/10/2023 19:34,1:15:38,5.874418,2.29,USD,Portland State University,0:00:03,0:00:03,1:15:35,1:15:38,10/10/2023 17:18,10/10/2023 18:34,1:15:35,kWh,Level 2,8640
149,US/Mountain,10/6/2023 12:35,Portland State University,1872 SW Broadway,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0205-2240-004536,10/6/2023 9:30,10/6/2023 12:34,3:04:13,6.9796602,2.72,USD,Portland State University,0:56:59,0:56:59,2:07:14,3:04:13,10/6/2023 8:30,10/6/2023 11:34,2:07:14,kWh,Level 2,6670.8576
150,US/Mountain,10/9/2023 19:07,Portland State University,1872 SW Broadway,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0205-2240-004536,10/9/2023 15:06,10/9/2023 19:07,4:01:04,24.6713945,12.09,USD,Portland State University,0:12:12,0:12:12,3:48:52,4:01:04,10/9/2023 14:06,10/9/2023 18:07,3:48:52,kWh,Level 2,6670.8576
151,US/Mountain,10/11/2023 16:39,Portland State University - RMNC,1600 Southwest 4th Avenue,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0205-2240-004640,10/11/2023 11:35,10/11/2023 16:39,5:04:29,30.3532539,11.84,USD,Portland State University,0:08:22,0:08:22,4:56:07,5:04:29,10/11/2023 10:35,10/11/2023 15:39,4:56:07,kWh,Level 2,6728.832
152,US/Mountain,10/10/2023 16:03,Portland State University,1872 SW Broadway,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0207-ISO-2240-012964,10/10/2023 14:55,10/10/2023 16:03,1:08:33,3.5574414,1.39,USD,Portland State University,0:00:02,0:00:02,1:08:31,1:08:33,10/10/2023 13:55,10/10/2023 15:03,1:08:31,kWh,Level 2,3364.416
153,US/Mountain,10/11/2023 16:40,Portland State University,1872 SW Broadway,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0205-2240-004638,10/11/2023 10:51,10/11/2023 16:40,5:49:41,5.0486055,1.97,USD,Portland State University,4:52:26,4:52:26,0:57:15,5:49:41,10/11/2023 9:51,10/11/2023 15:40,0:57:15,kWh,Level 2,6775.4016
154,US/Mountain,10/11/2023 14:28,Portland State University,1872 SW Broadway,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0207-ISO-2240-012964,10/11/2023 10:46,10/11/2023 14:28,3:42:00,7.5323086,3.69,USD,Portland State University,0:00:05,0:00:05,3:41:55,3:42:00,10/11/2023 9:46,10/11/2023 13:28,3:41:55,kWh,Level 2,3364.416
155,US/Mountain,10/9/2023 14:30,Portland State University,1872 SW Broadway,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0207-ISO-2240-012964,10/9/2023 10:09,10/9/2023 14:30,4:20:40,6.4978867,2.53,USD,Portland State University,0:55:27,0:55:27,3:25:13,4:20:40,10/9/2023 9:09,10/9/2023 13:30,3:25:13,kWh,Level 2,3364.416
156,US/Mountain,10/6/2023 18:56,Portland State University - RMNC,1600 Southwest 4th Avenue,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0207-ISO-2240-012498,10/6/2023 18:24,10/6/2023 18:55,0:31:34,3.0110547,1.17,USD,Portland State University,0:00:04,0:00:04,0:31:30,0:31:34,10/6/2023 17:24,10/6/2023 17:55,0:31:30,kWh,Level 2,8640
157,US/Mountain,10/12/2023 18:36,Portland State University - RMNC,1600 Southwest 4th Avenue,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0205-2240-004640,10/12/2023 9:26,10/12/2023 18:36,9:10:06,4.2439023,1.66,USD,Portland State University,7:37:29,7:37:29,1:32:37,9:10:06,10/12/2023 8:26,10/12/2023 17:36,1:32:37,kWh,Level 2,6728.832
158,US/Mountain,10/7/2023 21:13,Portland State University,1872 SW Broadway,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0205-2240-004536,10/7/2023 11:07,10/7/2023 21:13,10:05:28,10.6818125,5.23,USD,Portland State University,7:24:29,7:24:29,2:40:59,10:05:28,10/7/2023 10:07,10/7/2023 20:13,2:40:59,kWh,Level 2,6670.8576
159,US/Mountain,10/7/2023 11:27,Portland State University,1872 SW Broadway,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0207-ISO-2240-012964,10/7/2023 11:05,10/7/2023 11:27,0:21:47,0.7477227,0.29,USD,Portland State University,0:00:05,0:00:05,0:21:42,0:21:47,10/7/2023 10:05,10/7/2023 10:27,0:21:42,kWh,Level 2,3364.416
160,US/Mountain,10/7/2023 12:50,Portland State University - RMNC,1600 Southwest 4th Avenue,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0207-ISO-2240-012498,10/7/2023 12:24,10/7/2023 12:50,0:25:52,2.4432266,0.95,USD,Portland State University,0:00:03,0:00:03,0:25:49,0:25:52,10/7/2023 11:24,10/7/2023 11:50,0:25:49,kWh,Level 2,8640
161,US/Mountain,10/11/2023 14:01,Portland State University - Parking One,1872 Southwest Broadway,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0205-2240-004561,10/11/2023 9:50,10/11/2023 14:01,4:10:53,4.5732578,1.78,USD,Portland State University,2:05:59,2:05:59,2:04:54,4:10:53,10/11/2023 8:50,10/11/2023 13:01,2:04:54,kWh,Level 2,6633.4752
162,US/Mountain,10/7/2023 19:39,Portland State University - RMNC,1600 Southwest 4th Avenue,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0205-2240-004640,10/7/2023 18:40,10/7/2023 19:39,0:58:59,5.5962773,2.18,USD,Portland State University,0:00:02,0:00:02,0:58:57,0:58:59,10/7/2023 17:40,10/7/2023 18:39,0:58:57,kWh,Level 2,6728.832
163,US/Mountain,10/9/2023 13:17,Portland State University,1872 SW Broadway,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0205-2240-004536,10/9/2023 10:39,10/9/2023 13:16,2:37:33,6.7194141,3.29,USD,Portland State University,0:39:32,0:39:32,1:58:01,2:37:33,10/9/2023 9:39,10/9/2023 12:16,1:58:01,kWh,Level 2,6670.8576
164,US/Mountain,10/12/2023 16:49,Portland State University,1872 SW Broadway,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0205-2240-004536,10/12/2023 12:47,10/12/2023 16:49,4:02:12,12.5573477,4.9,USD,Portland State University,1:54:43,1:54:43,2:07:29,4:02:12,10/12/2023 11:47,10/12/2023 15:49,2:07:29,kWh,Level 2,6670.8576
165,US/Mountain,10/12/2023 19:24,Portland State University,1872 SW Broadway,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0207-ISO-2240-012605,10/12/2023 13:37,10/12/2023 19:24,5:47:01,6.6896133,3.28,USD,Portland State University,3:42:18,3:42:18,2:04:43,5:47:01,10/12/2023 12:37,10/12/2023 18:24,2:04:43,kWh,Level 2,6764.6304
166,US/Mountain,10/12/2023 18:54,Portland State University - RMNC,1600 Southwest 4th Avenue,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0207-ISO-2240-012498,10/12/2023 14:34,10/12/2023 18:54,4:19:35,10.2336094,3.99,USD,Portland State University,0:52:44,0:52:44,3:26:51,4:19:35,10/12/2023 13:34,10/12/2023 17:54,3:26:51,kWh,Level 2,8640
167,US/Mountain,10/12/2023 18:17,Portland State University - Parking One,1872 Southwest Broadway,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0205-2240-004561,10/12/2023 9:38,10/12/2023 18:17,8:38:24,4.3024805,1.68,USD,Portland State University,6:10:50,6:10:50,2:27:34,8:38:24,10/12/2023 8:38,10/12/2023 17:17,2:27:34,kWh,Level 2,6633.4752
168,US/Mountain,10/17/2023 16:51,Portland State University,1872 SW Broadway,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0205-2240-004536,10/17/2023 14:58,10/17/2023 16:51,1:53:30,5.9404766,2.32,USD,Portland State University,0:00:00,0:00:00,1:53:30,1:53:30,10/17/2023 13:58,10/17/2023 15:51,1:53:30,kWh,Level 2,6670.8576
169,US/Mountain,10/17/2023 19:22,Portland State University,1872 SW Broadway,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0205-2240-004638,10/17/2023 17:17,10/17/2023 19:22,2:05:35,14.1540742,5.52,USD,Portland State University,0:00:00,0:00:00,2:05:35,2:05:35,10/17/2023 16:17,10/17/2023 18:22,2:05:35,kWh,Level 2,6775.4016
170,US/Mountain,10/29/2023 15:57,Portland State University - RMNC,1600 Southwest 4th Avenue,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0205-2240-004640,10/29/2023 14:36,10/29/2023 15:57,1:20:58,7.7773516,3.03,USD,Portland State University,0:00:07,0:00:07,1:20:51,1:20:58,10/29/2023 13:36,10/29/2023 14:57,1:20:51,kWh,Level 2,6728.832
171,US/Mountain,10/18/2023 18:10,Portland State University - Parking One,1872 Southwest Broadway,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0205-2240-004561,10/18/2023 10:18,10/18/2023 18:10,7:52:09,5.3935117,2.1,USD,Portland State University,5:08:24,5:08:24,2:43:45,7:52:09,10/18/2023 9:18,10/18/2023 17:10,2:43:45,kWh,Level 2,6633.4752
172,US/Mountain,10/17/2023 16:17,Portland State University,1872 SW Broadway,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0205-2240-004638,10/17/2023 10:31,10/17/2023 16:17,5:45:56,37.6963086,14.7,USD,Portland State University,0:00:23,0:00:23,5:45:33,5:45:56,10/17/2023 9:31,10/17/2023 15:17,5:45:33,kWh,Level 2,6775.4016
173,US/Mountain,10/17/2023 13:52,Portland State University - Parking One,1872 Southwest Broadway,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0205-2240-004561,10/17/2023 9:00,10/17/2023 13:52,4:51:58,5.2101094,2.03,USD,Portland State University,2:36:54,2:36:54,2:15:04,4:51:58,10/17/2023 8:00,10/17/2023 12:52,2:15:04,kWh,Level 2,6633.4752
174,US/Mountain,10/17/2023 1:57,Portland State University - Parking One,1872 Southwest Broadway,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0205-2240-004561,10/16/2023 9:09,10/16/2023 17:42,8:32:47,4.4389687,1.73,USD,Portland State University,6:09:04,6:09:04,2:23:43,8:32:47,10/16/2023 8:09,10/16/2023 16:42,2:23:43,kWh,Level 2,6633.4752
175,US/Mountain,10/13/2023 14:00,Portland State University - RMNC,1600 Southwest 4th Avenue,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0205-2240-004640,10/13/2023 9:18,10/13/2023 14:00,4:42:24,4.9331523,1.92,USD,Portland State University,2:57:18,2:57:18,1:45:06,4:42:24,10/13/2023 8:18,10/13/2023 13:00,1:45:06,kWh,Level 2,6728.832
176,US/Mountain,10/22/2023 21:46,Portland State University,1872 SW Broadway,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0205-2240-004536,10/22/2023 20:28,10/22/2023 21:46,1:17:50,5.60375,2.19,USD,Portland State University,0:00:00,0:00:00,1:17:50,1:17:50,10/22/2023 19:28,10/22/2023 20:46,1:17:50,kWh,Level 2,6670.8576
177,US/Mountain,10/13/2023 13:27,Portland State University - RMNC,1600 Southwest 4th Avenue,Not Available,Portland,Oregon,97201,US,America/Los_Angeles,L1-0207-ISO-2240-012498,10/13/2023 11:36,10/13/2023 13:27,1:51:35,5.6876562,2.22,USD,Portland State University,0:00:03,0:00:03,1:51:32,1:51:35,10/13/2023 10:36,10/13/2023 12:27,1:51:32,kWh,Level 2,8640
